Consumer ID,Age Group,Province,Equifax Score,TransUnion Score,Borrowell Score,Credit Karma Score,Mogo Score,Highest Score Shown,Lowest Score Shown,Score Variance,Checked Multiple Platforms,Confused by Score Difference,Score Category
CON0328,35 to 44,Ontario,669,685,694,653,628,694,628,66,No,No,Fair
CON0329,25 to 34,Quebec,536,590,521,551,534,590,521,69,Yes,Yes,Fair
CON0330,18 to 24,Quebec,574,659,565,647,575,659,565,94,No,No,Fair
CON0331,25 to 34,Other,733,657,714,630,759,759,657,102,Yes,Yes,Very Good
CON0332,25 to 34,Ontario,695,679,670,649,686,695,670,25,Yes,Yes,Good
CON0333,55 plus,British Columbia,683,689,679,647,639,689,639,50,Yes,Yes,Good
CON0334,25 to 34,Ontario,626,554,625,514,607,626,554,72,No,No,Fair
CON0335,45 to 54,British Columbia,671,648,665,616,689,689,648,41,No,No,Fair
CON0336,25 to 34,Alberta,798,739,782,721,809,809,739,70,Yes,Yes,Very Good
CON0337,25 to 34,Ontario,734,729,750,685,709,750,709,41,Yes,Yes,Very Good
CON0338,25 to 34,Quebec,800,787,788,736,817,817,787,30,No,No,Very Good
CON0339,25 to 34,British Columbia,684,678,689,656,704,704,678,26,Yes,Yes,Good
CON0340,35 to 44,Ontario,639,618,632,590,631,639,618,21,Yes,Yes,Fair
CON0341,25 to 34,British Columbia,704,720,708,677,701,720,701,19,No,No,Good
CON0342,55 plus,British Columbia,551,589,523,545,564,589,523,66,No,No,Fair
CON0343,45 to 54,Quebec,634,662,616,603,636,662,616,46,No,No,Fair
CON0344,18 to 24,British Columbia,820,818,853,790,818,853,818,35,No,No,Very Good
CON0345,55 plus,Ontario,409,318,384,300,451,451,318,133,Yes,Yes,Poor
CON0346,35 to 44,British Columbia,618,587,629,566,599,629,587,42,Yes,Yes,Fair
CON0347,35 to 44,Ontario,633,568,615,557,621,633,568,65,Yes,Yes,Fair
CON0348,18 to 24,Ontario,581,548,583,503,586,586,548,38,Yes,Yes,Fair
CON0349,45 to 54,Other,531,611,533,573,545,611,531,80,No,No,Poor
CON0350,18 to 24,Alberta,851,825,857,763,855,857,825,32,Yes,Yes,Excellent
CON0351,25 to 34,Ontario,769,773,754,717,784,784,754,30,No,No,Very Good
CON0352,25 to 34,British Columbia,615,689,590,644,616,689,590,99,Yes,Yes,Good
CON0353,25 to 34,British Columbia,742,796,739,760,716,796,716,80,No,No,Very Good
CON0354,18 to 24,Ontario,629,654,609,613,626,654,609,45,No,No,Fair
CON0355,45 to 54,Quebec,806,719,794,689,841,841,719,122,Yes,Yes,Very Good
CON0356,35 to 44,Ontario,639,543,617,521,622,639,543,96,Yes,Yes,Fair
CON0357,35 to 44,Ontario,842,825,836,791,832,842,825,17,Yes,No,Excellent
CON0358,25 to 34,Ontario,677,731,668,681,688,731,668,63,Yes,Yes,Good
CON0359,45 to 54,Ontario,547,570,547,523,548,570,547,23,No,No,Fair
CON0360,55 plus,Ontario,596,608,595,588,597,608,595,13,No,No,Fair
CON0361,45 to 54,Quebec,720,754,735,726,704,754,704,50,No,No,Very Good
CON0362,25 to 34,Ontario,567,534,520,503,588,588,520,68,No,No,Fair
CON0363,55 plus,Quebec,609,601,594,550,606,609,594,15,Yes,No,Fair
CON0364,25 to 34,Alberta,730,776,719,736,738,776,719,57,No,No,Very Good
CON0365,25 to 34,Alberta,768,711,768,661,794,794,711,83,Yes,Yes,Very Good
CON0366,55 plus,Ontario,689,675,671,646,675,689,671,18,No,No,Good
CON0367,18 to 24,Ontario,480,449,483,442,494,494,449,45,Yes,Yes,Poor
CON0368,35 to 44,Quebec,459,446,458,417,432,459,432,27,Yes,Yes,Poor
CON0369,35 to 44,Quebec,663,646,683,618,692,692,646,46,Yes,Yes,Good
CON0370,25 to 34,Ontario,544,490,561,460,550,561,490,71,Yes,Yes,Fair
CON0371,45 to 54,Ontario,640,598,655,559,634,655,598,57,Yes,Yes,Fair
CON0372,45 to 54,Quebec,601,594,620,558,618,620,594,26,Yes,Yes,Fair
CON0373,55 plus,Other,841,851,862,799,852,862,841,21,Yes,Yes,Excellent
CON0374,25 to 34,Quebec,736,715,748,669,734,748,715,33,Yes,Yes,Good
CON0375,35 to 44,Ontario,709,703,703,678,711,711,703,8,No,No,Very Good
CON0376,35 to 44,Ontario,604,545,595,523,629,629,545,84,No,No,Fair
CON0377,45 to 54,Ontario,614,607,604,575,610,614,604,10,Yes,No,Fair
CON0378,45 to 54,Ontario,732,717,738,670,733,738,717,21,Yes,Yes,Very Good
CON0379,55 plus,Alberta,607,621,597,601,610,621,597,24,No,No,Fair
CON0380,25 to 34,Other,705,633,699,603,716,716,633,83,Yes,Yes,Good
CON0381,25 to 34,Quebec,631,622,630,582,665,665,622,43,Yes,Yes,Fair
CON0382,35 to 44,Quebec,665,689,643,654,682,689,643,46,No,No,Good
CON0383,25 to 34,Alberta,845,818,853,779,845,853,818,35,No,No,Excellent
CON0384,25 to 34,British Columbia,531,596,541,584,549,596,531,65,No,No,Fair
CON0385,45 to 54,Alberta,679,719,687,677,685,719,679,40,No,No,Good
CON0386,25 to 34,Quebec,863,829,868,790,869,869,829,40,No,No,Excellent
CON0387,35 to 44,Quebec,649,592,628,554,638,649,592,57,Yes,Yes,Good
CON0388,35 to 44,Other,617,595,630,547,642,642,595,47,Yes,Yes,Fair
CON0389,35 to 44,Ontario,625,661,597,626,623,661,597,64,No,No,Fair
CON0390,45 to 54,British Columbia,742,704,726,665,764,764,704,60,No,No,Very Good
CON0391,35 to 44,Ontario,630,568,626,544,644,644,568,76,Yes,Yes,Fair
CON0392,55 plus,Ontario,544,543,555,516,572,572,543,29,Yes,Yes,Fair
CON0393,45 to 54,Ontario,719,636,707,585,726,726,636,90,No,No,Good
CON0394,45 to 54,Ontario,712,714,674,670,736,736,674,62,Yes,Yes,Good
CON0395,55 plus,British Columbia,801,753,789,705,797,801,753,48,Yes,Yes,Very Good
CON0396,35 to 44,Quebec,658,714,662,691,646,714,646,68,Yes,Yes,Good
CON0397,55 plus,Alberta,484,554,492,519,485,554,484,70,Yes,Yes,Poor
CON0398,25 to 34,Quebec,455,464,467,437,449,467,449,18,No,No,Poor
CON0399,55 plus,Other,578,636,569,601,567,636,567,69,Yes,Yes,Fair
CON0400,55 plus,Quebec,758,709,730,664,787,787,709,78,No,No,Very Good
CON0401,55 plus,Quebec,616,599,603,557,641,641,599,42,No,No,Fair
CON0402,35 to 44,Quebec,524,507,525,471,543,543,507,36,Yes,Yes,Poor
CON0403,18 to 24,Ontario,616,644,639,612,599,644,599,45,No,No,Good
CON0404,45 to 54,Ontario,764,721,769,680,801,801,721,80,No,No,Very Good
CON0405,45 to 54,Quebec,852,881,865,830,820,881,820,61,Yes,Yes,Excellent
CON0406,55 plus,Other,660,685,676,655,656,685,656,29,Yes,Yes,Good
CON0407,45 to 54,Other,656,645,671,612,624,671,624,47,No,No,Fair
CON0408,25 to 34,Ontario,539,523,529,497,497,539,497,42,No,No,Fair
CON0409,18 to 24,Quebec,709,651,703,603,721,721,651,70,Yes,Yes,Good
CON0410,55 plus,Quebec,637,598,639,563,645,645,598,47,No,No,Fair
CON0411,25 to 34,Ontario,550,501,565,470,564,565,501,64,Yes,Yes,Poor
CON0412,25 to 34,Ontario,587,576,587,545,605,605,576,29,No,No,Fair
CON0413,35 to 44,Other,340,385,300,378,344,385,300,85,No,No,Poor
CON0414,25 to 34,British Columbia,450,475,433,469,432,475,432,43,Yes,Yes,Poor
CON0415,55 plus,Ontario,794,769,808,723,798,808,769,39,Yes,Yes,Excellent
CON0416,35 to 44,Quebec,721,752,711,713,724,752,711,41,No,No,Very Good
CON0417,35 to 44,Other,638,572,628,557,637,638,572,66,No,No,Fair
CON0418,35 to 44,Quebec,756,713,756,689,769,769,713,56,Yes,Yes,Very Good
CON0419,35 to 44,Quebec,693,631,677,610,698,698,631,67,No,No,Good
CON0420,45 to 54,Ontario,639,661,629,628,639,661,629,32,Yes,Yes,Good
CON0421,18 to 24,British Columbia,652,632,660,584,658,660,632,28,No,No,Good
CON0422,45 to 54,Ontario,420,457,432,446,407,457,407,50,No,No,Poor
CON0423,55 plus,Ontario,546,548,543,507,537,548,537,11,No,No,Poor
CON0424,25 to 34,Alberta,729,692,735,647,731,735,692,43,Yes,Yes,Very Good
CON0425,35 to 44,British Columbia,788,768,760,754,768,788,760,28,Yes,Yes,Very Good
CON0426,35 to 44,Ontario,716,694,694,652,727,727,694,33,No,No,Good
CON0427,35 to 44,Ontario,725,685,726,642,750,750,685,65,Yes,Yes,Very Good
CON0428,45 to 54,Ontario,664,652,669,614,648,669,648,21,No,No,Good
CON0429,35 to 44,Alberta,727,719,731,672,727,731,719,12,No,No,Very Good
CON0430,18 to 24,British Columbia,773,730,799,692,779,799,730,69,Yes,Yes,Very Good
CON0431,55 plus,British Columbia,573,517,551,476,569,573,517,56,No,No,Fair
CON0432,35 to 44,British Columbia,641,623,612,585,663,663,612,51,Yes,Yes,Fair
CON0433,35 to 44,Ontario,529,578,505,551,550,578,505,73,No,No,Fair
CON0434,35 to 44,Ontario,476,522,454,488,488,522,454,68,Yes,Yes,Poor
CON0435,18 to 24,Other,739,747,727,694,745,747,727,20,Yes,No,Very Good
CON0436,25 to 34,Quebec,606,655,577,617,631,655,577,78,Yes,Yes,Fair
CON0437,25 to 34,Alberta,525,526,519,506,517,526,517,9,Yes,No,Fair
CON0438,35 to 44,Ontario,547,514,542,487,556,556,514,42,Yes,Yes,Poor
CON0439,35 to 44,British Columbia,607,579,609,552,584,609,579,30,Yes,Yes,Fair
CON0440,35 to 44,Ontario,811,765,807,716,810,811,765,46,Yes,Yes,Very Good
CON0441,18 to 24,Quebec,747,762,776,708,737,776,737,39,No,No,Very Good
CON0442,45 to 54,Quebec,674,556,683,528,669,683,556,127,No,No,Good
CON0443,35 to 44,Quebec,681,672,667,632,668,681,667,14,Yes,No,Good
CON0444,18 to 24,Ontario,645,643,668,596,647,668,643,25,Yes,Yes,Fair
CON0445,18 to 24,Quebec,646,647,624,619,662,662,624,38,No,No,Fair
CON0446,35 to 44,Ontario,773,767,754,722,779,779,754,25,No,No,Excellent
CON0447,18 to 24,Ontario,668,638,650,603,644,668,638,30,Yes,Yes,Good
CON0448,45 to 54,Alberta,747,667,772,624,756,772,667,105,Yes,Yes,Good
CON0449,25 to 34,Quebec,682,641,659,601,700,700,641,59,Yes,Yes,Good
CON0450,25 to 34,Alberta,710,704,714,657,686,714,686,28,Yes,Yes,Very Good
CON0451,45 to 54,Alberta,614,577,621,535,640,640,577,63,No,No,Fair
CON0452,25 to 34,British Columbia,640,653,627,618,660,660,627,33,No,No,Good
CON0453,55 plus,British Columbia,641,648,636,616,649,649,636,13,Yes,No,Fair
CON0454,35 to 44,Quebec,689,696,688,670,689,696,688,8,No,No,Good
CON0455,45 to 54,Ontario,820,804,803,763,848,848,803,45,Yes,Yes,Excellent
CON0456,18 to 24,Ontario,560,570,564,545,565,570,560,10,No,No,Fair
CON0457,18 to 24,Ontario,663,643,670,590,663,670,643,27,Yes,Yes,Good
CON0458,25 to 34,Other,719,714,745,671,746,746,714,32,Yes,Yes,Very Good
CON0459,45 to 54,Other,693,663,692,619,737,737,663,74,No,No,Good
CON0460,45 to 54,Other,687,680,646,626,679,687,646,41,Yes,Yes,Very Good
CON0461,55 plus,Quebec,558,552,555,534,571,571,552,19,Yes,No,Poor
CON0462,18 to 24,Quebec,639,560,634,532,631,639,560,79,No,No,Fair
CON0463,55 plus,Quebec,896,826,894,785,891,896,826,70,No,No,Excellent
CON0464,25 to 34,Quebec,608,591,573,559,622,622,573,49,Yes,Yes,Fair
CON0465,35 to 44,Ontario,878,806,854,748,861,878,806,72,Yes,Yes,Excellent
CON0466,55 plus,Other,569,646,562,617,557,646,557,89,Yes,Yes,Fair
CON0467,35 to 44,British Columbia,729,735,732,681,735,735,729,6,No,No,Good
CON0468,25 to 34,Quebec,858,767,838,723,858,858,767,91,Yes,Yes,Very Good
CON0469,25 to 34,British Columbia,602,582,594,535,609,609,582,27,Yes,Yes,Fair
CON0470,35 to 44,Ontario,619,647,605,613,630,647,605,42,Yes,Yes,Fair
CON0471,18 to 24,Alberta,683,623,684,603,722,722,623,99,Yes,Yes,Good
CON0472,25 to 34,Quebec,359,369,340,345,331,369,331,38,Yes,Yes,Poor
CON0473,35 to 44,Ontario,580,597,585,549,586,597,580,17,Yes,No,Poor
CON0474,55 plus,Ontario,443,455,441,444,470,470,441,29,Yes,Yes,Poor
CON0475,45 to 54,Alberta,624,631,606,590,609,631,606,25,Yes,Yes,Fair
CON0476,35 to 44,Quebec,679,641,681,608,667,681,641,40,No,No,Fair
CON0477,35 to 44,Ontario,729,714,736,671,745,745,714,31,Yes,Yes,Very Good
CON0478,18 to 24,Quebec,710,648,685,606,718,718,648,70,No,No,Very Good
CON0479,55 plus,British Columbia,794,813,794,770,800,813,794,19,Yes,No,Excellent
CON0480,55 plus,Ontario,571,552,571,529,595,595,552,43,Yes,Yes,Poor
CON0481,55 plus,Ontario,681,672,697,648,688,697,672,25,Yes,Yes,Fair
CON0482,25 to 34,Quebec,784,773,795,744,782,795,773,22,No,No,Very Good
CON0483,35 to 44,Alberta,564,534,556,500,582,582,534,48,Yes,Yes,Fair
CON0484,25 to 34,British Columbia,638,610,634,583,609,638,609,29,Yes,Yes,Fair
CON0485,25 to 34,Ontario,844,859,840,803,853,859,840,19,Yes,No,Excellent
CON0486,25 to 34,Ontario,586,541,586,509,572,586,541,45,Yes,Yes,Fair
CON0487,45 to 54,Alberta,729,719,710,675,719,729,710,19,Yes,No,Good
CON0488,35 to 44,Ontario,694,685,709,640,688,709,685,24,Yes,Yes,Good
CON0489,45 to 54,Ontario,793,777,794,731,824,824,777,47,Yes,Yes,Very Good
CON0490,45 to 54,Ontario,586,552,605,532,588,605,552,53,No,No,Fair
CON0491,45 to 54,Alberta,700,692,690,646,705,705,690,15,No,No,Good
CON0492,18 to 24,British Columbia,822,778,842,719,835,842,778,64,No,No,Very Good
CON0493,35 to 44,Ontario,394,345,393,322,411,411,345,66,No,No,Poor
CON0494,25 to 34,Ontario,598,575,586,557,578,598,575,23,No,No,Fair
CON0495,18 to 24,Alberta,661,632,663,596,661,663,632,31,Yes,Yes,Fair
CON0496,55 plus,Other,581,599,581,577,597,599,581,18,No,No,Fair
CON0497,55 plus,Alberta,813,770,783,731,825,825,770,55,No,No,Very Good
CON0498,55 plus,British Columbia,678,711,694,667,688,711,678,33,Yes,Yes,Good
CON0499,25 to 34,Alberta,672,627,675,582,698,698,627,71,No,No,Fair
CON0500,18 to 24,Quebec,635,641,640,604,655,655,635,20,Yes,No,Fair
